,merchant_id,international_cid,domestic_cid,int_pct,approved_amount_sum_from_merchant,approved_transactions_count_from_merchant,active_days_since_aquisition_from_merchant,status,status_reason,status_1,elo_frauds_reports,hiper_frauds_reports,master_frauds_reports,visa_frauds_reports,tax_regime_from_cnpj,months_diff,document_type_
0,8616274,15,1,93.8,12366.33,7,3,active,,approved,0,0,0,0,SIMPLES,8.0,cnpj
1,20577265,45,2,95.7,3525.0,7,1,blocked,monitoring,blocked,0,0,6,0,,1.0,cnpj
2,21637927,4,1,80.0,10474.87,20,10,active,,approved,0,0,0,0,,,cpf
5,4983789,6,5,54.5,614.13,7,1,blocked,monitoring,blocked,0,0,12,0,,,cpf
7,19191323,12,0,100.0,5441.0,9,6,active,,approved,0,0,0,0,,,cpf
9,18477618,11,10,52.4,6954.45,19,3,blocked,monitoring,blocked,0,0,15,0,,,cpf
11,14682850,6,4,60.0,10915.1,21,6,blocked,monitoring,blocked,0,0,0,0,,,cpf
12,9680689,22,1,95.7,110.0,2,1,blocked,monitoring,blocked,0,0,0,0,MEI,17.0,cnpj
13,16259811,5,4,55.6,213.99,4,1,blocked,monitoring,blocked,0,0,0,6,,,cpf
14,3504163,41,12,77.4,7374.08,40,16,active,,approved,0,0,0,0,,,cpf
15,12293900,5,0,100.0,4171.42,5,5,blocked,monitoring,blocked,0,0,0,0,,,cpf
16,16421045,111,7,94.1,6410.88,23,5,blocked,monitoring,blocked,0,0,12,12,SIMPLES,40.0,cnpj
18,20378265,4,0,100.0,0.0,0,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
19,2379085,23,6,79.3,3629.0,27,5,active,mpos: Play Integrity attestation indicates account tampering,approved,0,0,30,0,,,cpf
20,11368022,10,9,52.6,8960.0,14,6,blocked,monitoring,blocked,0,0,0,0,,,cpf
22,14006080,7,0,100.0,4500.0,3,1,active,,approved,0,0,0,0,,,cpf
23,13568641,10,0,100.0,2277.41,8,3,blocked,monitoring,blocked,0,0,0,0,,,cpf
25,16035804,23,2,92.0,461.0,4,2,blocked,monitoring,blocked,0,0,0,0,MEI,88.0,cnpj
26,12658504,6,5,54.5,4125.08,9,3,blocked,monitoring,blocked,0,0,0,0,,,cpf
27,9413567,14,0,100.0,1103.33,3,2,blocked,monitoring,blocked,0,0,0,0,,,cpf
32,15789454,14,8,63.6,1472.5,19,3,blocked,monitoring,blocked,0,0,0,0,,,cpf
34,14211198,10,1,90.9,4492.0,5,4,active,,approved,0,0,0,0,,,cpf
38,15581486,8,4,66.7,2370.38,10,3,blocked,monitoring,blocked,0,0,0,0,,,cpf
47,13910536,8,2,80.0,2362.57,6,2,blocked,monitoring,blocked,0,0,0,0,,,cpf
50,20455145,9,3,75.0,216.0,3,2,blocked,monitoring,blocked,0,0,0,0,,,cpf
52,13658530,3,1,75.0,10.0,1,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
54,19450091,5,2,71.4,10137.92,20,9,blocked,monitoring,blocked,0,0,0,0,,,cpf
55,17846791,16,1,94.1,1335.77,3,2,blocked,monitoring,blocked,0,0,3,0,,,cpf
56,17252743,9,3,75.0,1364.5,11,3,active,,approved,0,0,0,0,,,cpf
58,10506125,7,1,87.5,925.0,5,1,active,,approved,0,0,0,0,,,cpf
59,13653127,7,1,87.5,18.0,5,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
63,11091443,6,1,85.7,1940.0,4,2,blocked,monitoring,blocked,0,0,0,0,,,cpf
64,13059691,18,1,94.7,10570.7,14,9,blocked,monitoring,blocked,0,0,0,0,,,cpf
66,10981512,7,3,70.0,747.01,7,2,blocked,monitoring,blocked,0,0,0,0,,,cpf
67,6656432,6,1,85.7,1514.91,5,2,blocked,monitoring,blocked,0,0,6,0,,,cpf
71,2454126,32,11,74.4,4559.0,37,14,active,mpos: nonce mismatch,approved,0,0,0,0,MEI,146.0,cnpj
73,11028388,22,18,55.0,10960.0,39,25,active,,approved,0,0,0,0,SIMPLES,105.0,cnpj
76,20476605,19,0,100.0,6284.76,8,3,active,,approved,0,0,0,0,,,cpf
78,14322273,10,0,100.0,1465.0,12,2,blocked,monitoring,blocked,0,0,18,0,,,cpf
79,14605707,53,40,57.0,56487.91,116,65,active,,approved,0,0,0,48,SIMPLES,122.0,cnpj
80,7259863,14,9,60.9,5754.5,14,8,blocked,monitoring,blocked,0,0,0,0,,,cpf
81,18833834,5,1,83.3,1637.13,5,2,blocked,monitoring,blocked,0,0,12,0,,,cpf
84,13321988,17,9,65.4,654.0,20,2,blocked,monitoring,blocked,0,0,0,0,,,cpf
87,13980323,4,0,100.0,500.0,1,1,blocked,monitoring,blocked,0,0,0,0,,,cpf
90,11157292,4,1,80.0,60.0,1,1,active,,approved,0,0,3,0,,,cpf
95,19504666,5,2,71.4,3737.0,5,2,blocked,monitoring,blocked,0,0,0,0,,,cpf
96,12040943,43,9,82.7,49449.65,69,31,blocked,monitoring,blocked,0,0,0,0,LTDA,69.0,cnpj
97,12130206,6,0,100.0,0.0,0,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
102,1971532,197,184,51.7,17128.96,100,34,blocked,monitoring,blocked,0,0,240,240,,19.0,cnpj
108,15319601,45,20,69.2,18385.98,80,11,blocked,monitoring,blocked,0,0,3120,3120,MEI,4.0,cnpj
110,17571274,183,1,99.5,17208.83,62,4,blocked,monitoring,blocked,0,0,160,160,SIMPLES,46.0,cnpj
111,9452168,15,12,55.6,6407.22,11,6,blocked,monitoring,blocked,0,0,0,24,,,cpf
122,18742170,9,2,81.8,621.0,5,1,blocked,monitoring,blocked,0,0,0,0,,,cpf
124,19345253,5,2,71.4,1589.63,10,1,blocked,monitoring,blocked,0,0,24,0,,,cpf
128,8191293,7,5,58.3,2875.97,4,3,blocked,monitoring,blocked,0,0,0,0,,,cpf
130,5509916,49,11,81.7,8793.18,49,26,active,,approved,0,0,0,0,,,cpf
131,21718367,8,0,100.0,0.0,0,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
135,21227660,7,0,100.0,567.9,2,2,blocked,monitoring,blocked,0,0,0,0,,,cpf
