merchant_id,international_cid,domestic_cid,int_pct,approved_amount_sum_from_merchant,approved_transactions_count_from_merchant,active_days_since_aquisition_from_merchant,status,status_reason,status_1,elo_frauds_reports,hiper_frauds_reports,master_frauds_reports,visa_frauds_reports,tax_regime_from_cnpj,months_diff,document_type_
8616274,15,1,93.8,12366.33,7,3,active,,approved,0,0,0,0,SIMPLES,8,cnpj
20577265,45,2,95.7,3525,7,1,blocked,monitoring,blocked,0,0,6,0,,1,cnpj
21637927,4,1,80,10474.869999999999,20,10,active,,approved,0,0,0,0,,,cpf
7189755,56,483,10.4,36948.96,577,75,active,,approved,0,0,0,0,,10,cnpj
11941839,12,13,48,2733.12,17,4,blocked,monitoring,blocked,0,0,0,24,,,cpf
4983789,6,5,54.5,614.13,7,1,blocked,monitoring,blocked,0,0,12,0,,,cpf
10399970,163,492,24.9,103962.56,666,122,active,,approved,0,0,0,0,SIMPLES,17,cnpj
19191323,12,0,100,5441,9,6,active,,approved,0,0,0,0,,,cpf
8585099,79,81,49.4,36793,148,52,active,,approved,0,0,0,0,MEI,24,cnpj
18477618,11,10,52.4,6954.45,19,3,blocked,monitoring,blocked,0,0,15,0,,,cpf
13676809,59,22,72.8,2480,79,7,active,,approved,0,0,0,0,,,cpf
14682850,6,4,60,10915.1,21,6,blocked,monitoring,blocked,0,0,0,0,,,cpf
9680689,22,1,95.7,110,2,1,blocked,monitoring,blocked,0,0,0,0,MEI,17,cnpj
16259811,5,4,55.6,213.99,4,1,blocked,monitoring,blocked,0,0,0,6,,,cpf
3504163,41,12,77.4,7374.08,40,16,active,,approved,0,0,0,0,,,cpf
12293900,5,0,100,4171.42,5,5,blocked,monitoring,blocked,0,0,0,0,,,cpf
16421045,111,7,94.1,6410.88,23,5,blocked,monitoring,blocked,0,0,12,12,SIMPLES,40,cnpj
9442565,5,11,31.3,4201.76,18,6,active,,approved,0,0,0,0,,,cpf
20378265,4,0,100,0,0,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
2379085,23,6,79.3,3629,27,5,active,mpos: Play Integrity attestation indicates account tampering,approved,0,0,30,0,,,cpf
11368022,10,9,52.6,8960,14,6,blocked,monitoring,blocked,0,0,0,0,,,cpf
17092386,165,73,69.3,11351.66,269,39,active,,approved,0,0,0,0,,,cpf
14006080,7,0,100,4500,3,1,active,,approved,0,0,0,0,,,cpf
13568641,10,0,100,2277.41,8,3,blocked,monitoring,blocked,0,0,0,0,,,cpf
