user_id,status,status_reason,status_1,active_days_since_aquisition_from_merchant,approved_transactions_count_from_merchant,approved_amount_sum_from_merchant,cbk_tpv_ratio,total_billing_amount,total_chargebacks,paid_ratio,elo_frauds_reports,hiper_frauds_reports,master_frauds_reports,visa_frauds_reports,tax_regime_from_cnpj,months_diff
10114712,active,,approved,15,843,16272.27,,,,,0,0,0,0,,
14124679,active,,approved,3,5,6902.45,,,,,0,0,0,0,,
18477618,blocked,monitoring,blocked,3,19,6954.45,,,,,0,0,15,0,,
10319973,blocked,monitoring,blocked,1,3,185.28,,,,,0,0,0,10,,
13298871,blocked,monitoring,blocked,4,10,9939.41,,,,,0,0,0,0,,
5142698,blocked,monitoring,blocked,1,2,1450.0,,,,,0,0,0,0,,
13093385,active,,approved,0,51,637.0,,,,,0,0,0,0,,
11369665,active,mpos: Play Integrity invalid attestation payload (JWE error: invalid JWE syntax),approved,36,150,14523.5,,,,,0,0,0,0,,
9973519,active,,approved,97,232,32152.0,,,,,0,0,0,0,,
11871225,blocked,monitoring,blocked,15,45,4784.88,,,,,0,0,0,0,,
14993679,active,,approved,11,62,4542.87,,,,,0,0,0,0,,
21227660,blocked,monitoring,blocked,2,2,567.9,,,,,0,0,0,0,,
9613418,blocked,monitoring,blocked,12,87,6935.11,,,,,0,0,0,0,,
4512146,active,,approved,26,60,5372.7699999999995,,,,,0,0,0,0,,
18577861,active,,approved,1,228,3003.3,,,,,0,0,0,0,,
11806553,inactive,legal_shift,inactive,13,17,16941.14,,,,,0,0,0,0,,
9334584,active,,approved,23,67,5945.48,,,,,0,0,0,0,,
11486109,blocked,monitoring,blocked,8,11,6867.08,,,,,0,0,0,0,,
2469322,active,,approved,43,2815,45335.68,,,,,0,0,0,0,,
7909762,active,,approved,2,7,742.0,,,,,0,0,0,0,,
6677389,blocked,monitoring,blocked,8,11,10564.93,,,,,0,0,0,0,,
4575695,blocked,monitoring,blocked,2,4,1010.25,,,,,0,0,0,0,,
12376430,active,,approved,11,347,14129.79,0.002936349372495982,41.49,1,1.0,0,0,0,0,,
15171549,active,,approved,0,45,342.5,,,,,0,0,0,0,,
20136175,active,,approved,1,64,835.96,,,,,0,0,0,0,,
9780870,active,,approved,11,16,12368.88,,,,,0,0,0,0,,
9026824,active,,approved,18,94,3707.5,,,,,0,0,0,0,,
11714011,active,,approved,0,34,414.07,,,,,0,0,0,0,,
18417627,blocked,monitoring,blocked,6,8,14775.1,,,,,0,0,0,0,,
10410282,active,,approved,4,151,2731.31,,,,,0,0,0,0,,
16637066,blocked,monitoring,blocked,18,36,8237.49,,,,,0,0,0,0,,
3853372,active,,approved,19,177,8237.1,,,,,0,0,0,0,,
18663170,blocked,monitoring,blocked,0,1,2.07,,,,,0,0,0,0,,
14932877,blocked,monitoring,blocked,0,0,0.0,,,,,0,0,0,0,,
13603432,active,,approved,0,97,1265.0,,,,,0,0,0,0,,
11933978,active,,approved,9,79,2408.19,,,,,0,0,0,0,,
17042248,blocked,monitoring,blocked,3,7,6704.03,,,,,0,0,0,0,,
10166258,blocked,monitoring,blocked,17,25,23265.31,,,,,0,0,0,0,,
10660341,blocked,monitoring,blocked,6,9,6166.76,,,,,0,0,0,0,,
13658530,blocked,monitoring,blocked,0,1,10.0,,,,,0,0,0,0,,
12886115,blocked,monitoring,blocked,4,4,4004.0,,,,,0,0,0,0,,
7701335,active,,approved,14,448,10355.74,,,,,0,0,0,0,,
11015185,blocked,monitoring,blocked,12,21,11944.43,,,,,0,0,0,0,,
11626183,active,,approved,44,252,12249.07,,,,,0,0,0,0,,
16228598,blocked,monitoring,blocked,2,8,4002.0,,,,,0,0,20,0,,
1254262,active,,approved,11,15,5678.53,,,,,0,0,0,0,,
9584679,active,,approved,12,60,6007.62,,,,,0,0,0,0,,
13325712,blocked,monitoring,blocked,1,26,461.0,,,,,0,0,0,0,,
6406688,active,,approved,60,106,22552.62,,,,,0,0,0,0,,
18833834,blocked,monitoring,blocked,2,5,1637.13,,,,,0,0,12,0,,
9804942,active,,approved,50,166,11933.54,,,,,0,0,0,0,,
13518867,active,,approved,31,39,14932.31,,,,,0,0,0,0,,
3717973,active,mpos: general attestation (1003),approved,34,123,22779.6,,,,,0,0,0,0,,
11802099,inactive,legal_shift,inactive,10,90,4123.0,,,,,0,0,0,0,,
